pair_id,from_id,to_id,distance_nm,sea_time_h
P01__P02,P01,P02,948.2222083047591,67.73015773605422
P01__P03,P01,P03,1774.4213472094616,126.74438194353297
P01__P04,P01,P04,1675.5410751521242,119.68150536800887
P01__P05,P01,P05,804.3446375507109,57.45318839647935
P01__P06,P01,P06,916.6853244393965,65.4775231742426
P01__P07,P01,P07,918.7408162052035,65.6243440146574
P01__P08,P01,P08,858.9816491269847,61.35583208049891
P01__P09,P01,P09,1493.1436243984297,106.65311602845927
P01__P10,P01,P10,1515.103930051712,108.221709289408
P01__P11,P01,P11,961.4290161701962,68.67350115501401
P01__P12,P01,P12,889.9542093988856,63.56815781420612
P01__P13,P01,P13,793.0515184589144,56.6465370327796
P01__P14,P01,P14,832.9820942449222,59.49872101749445
P01__P15,P01,P15,1764.1358660065384,126.00970471475274
P01__P16,P01,P16,1077.5103903940505,76.96502788528933
P01__P17,P01,P17,850.0382634781197,60.71701881986569
P01__P18,P01,P18,983.5939106570797,70.25670790407712
P01__P19,P01,P19,753.7500327182393,53.8392880513028
P01__P20,P01,P20,1390.6688834577128,99.33349167555092
P01__P21,P01,P21,56.70774433156269,4.050553166540192
P01__P22,P01,P22,1455.9638983479479,103.9974213105677
P01__P23,P01,P23,1537.7397557508357,109.83855398220255
P01__P24,P01,P24,942.7605013311437,67.34003580936741
P01__P25,P01,P25,1882.5339267693078,134.46670905495054
P01__P26,P01,P26,88.16567724585798,6.297548374704141
P01__P27,P01,P27,2049.976832614569,146.42691661532635
P01__P28,P01,P28,1406.6502868178209,100.4750204869872
P01__P29,P01,P29,1665.3232758484778,118.95166256060556
P01__P30,P01,P30,1774.564629620773,126.75461640148379
P01__P31,P01,P31,1716.5411623883358,122.61008302773827
P01__P32,P01,P32,1005.4226168333273,71.81590120238052
P01__P33,P01,P33,918.7408162052035,65.6243440146574
P01__P34,P01,P34,1125.564934501655,80.39749532154678
P01__P35,P01,P35,1037.8144442234548,74.1296031588182
P01__P36,P01,P36,2164.4384857758255,154.60274898398754
P01__P37,P01,P37,1697.5013682024514,121.25009772874652
P01__P38,P01,P38,916.7499738989436,65.48214099278168
P01__P39,P01,P39,401.17191804477636,28.655137003198313
P01__P40,P01,P40,514.6292493759955,36.759232098285395
P02__P01,P02,P01,948.2222083047589,67.73015773605421
P02__P03,P02,P03,1083.8331226624464,77.41665161874617
P02__P04,P02,P04,984.9528506051092,70.35377504322209
P02__P05,P02,P05,280.9996802717369,20.071405733695492
P02__P06,P02,P06,175.63907241420276,12.54564802958591
P02__P07,P02,P07,1858.846197921819,132.77472842298707
P02__P08,P02,P08,129.71163820007638,9.26511701429117
P02__P09,P02,P09,802.5553998514149,57.325385703672495
P02__P10,P02,P10,824.5157055046967,58.89397896462119
P02__P11,P02,P11,95.9101097788901,6.8507221270635785
P02__P12,P02,P12,112.41153740632558,8.029395529023256
P02__P13,P02,P13,221.84626180325444,15.846161557375316
P02__P14,P02,P14,1773.087475961538,126.64910542582415
P02__P15,P02,P15,1073.5476414595228,76.68197438996592
P02__P16,P02,P16,523.0205776710468,37.35861269078906
P02__P17,P02,P17,108.53942098475571,7.752815784625407
P02__P18,P02,P18,332.95637958213246,23.78259854158089
P02__P19,P02,P19,288.68868593060245,20.62062042361446
P02__P20,P02,P20,700.0806589106978,50.00576135076413
P02__P21,P02,P21,891.5144639731961,63.67960456951401
P02__P22,P02,P22,765.3756738009329,54.66969098578092
P02__P23,P02,P23,881.5971992842744,62.97122852030532
P02__P24,P02,P24,1882.8658830477596,134.4904202176971
P02__P25,P02,P25,1255.4909043635737,89.67792174025526
P02__P26,P02,P26,881.6857733749802,62.977555241070014
P02__P27,P02,P27,1359.3886080675538,97.09918629053956
P02__P28,P02,P28,716.0620622708054,51.147290162200385
P02__P29,P02,P29,974.7350513014627,69.62393223581877
P02__P30,P02,P30,1083.9764050737579,77.42688607669699
P02__P31,P02,P31,1025.9529378413206,73.28235270295147
P02__P32,P02,P32,436.2289036594781,31.159207404248434
P02__P33,P02,P33,1858.846197921819,132.77472842298707
P02__P34,P02,P34,488.05210752590034,34.8608648232786
P02__P35,P02,P35,485.5651331960295,34.683223799716394
P02__P36,P02,P36,1473.85026122881,105.27501865920071
P02__P37,P02,P37,1006.9131436554364,71.92236740395974
P02__P38,P02,P38,1856.8553556155593,132.6325254011114
P02__P39,P02,P39,584.4673123165932,41.74766516547094
P02__P40,P02,P40,528.8775036543097,37.77696454673641
P03__P01,P03,P01,1774.4213472094614,126.74438194353296
P03__P02,P03,P02,1083.8331226624464,77.41665161874617
P03__P04,P03,P04,114.80310671474012,8.200221908195724
P03__P05,P03,P05,997.9246281542141,71.28033058244387
P03__P06,P03,P06,1238.2514666415668,88.4465333315405
P03__P07,P03,P07,2685.0453368265207,191.78895263046576
P03__P08,P03,P08,1192.3240324274404,85.16600231624575
P03__P09,P03,P09,325.4704713070245,23.24789080764461
P03__P10,P03,P10,722.5579100753191,51.61127929109422
P03__P11,P03,P11,1130.4719506790073,80.74799647707195
P03__P12,P03,P12,1153.3651297158774,82.3832235511341
P03__P13,P03,P13,1142.3060195667795,81.59328711191282
P03__P14,P03,P14,2599.2866148662397,185.66332963330282
P03__P15,P03,P15,971.5898460301449,69.39927471643892
P03__P16,P03,P16,771.4651967834027,55.10465691310019
P03__P17,P03,P17,1037.1141662045343,74.07958330032388
P03__P18,P03,P18,790.8274365523818,56.48767403945584
P03__P19,P03,P19,1302.8742643913056,93.06244745652182
P03__P20,P03,P20,608.692335206658,43.47802394333271
P03__P21,P03,P21,1717.7136028778987,122.69382877699276
P03__P22,P03,P22,339.21811475182653,24.229865339416182
P03__P23,P03,P23,837.1316970579007,59.79512121842148
P03__P24,P03,P24,2709.0650219524614,193.50464442517583
P03__P25,P03,P25,1223.2006253578952,87.37147323984966
P03__P26,P03,P26,1707.8849122796826,121.99177944854875
P03__P27,P03,P27,1257.4308126381761,89.81648661701259
P03__P28,P03,P28,406.41783275305977,29.029845196647127
P03__P29,P03,P29,146.90723381943457,10.493373844245326
P03__P30,P03,P30,15.569796773222004,1.112128340944429
P03__P31,P03,P31,63.68614204243198,4.549010145887999
P03__P32,P03,P32,839.8772580263583,59.99123271616845
P03__P33,P03,P33,2685.0453368265207,191.78895263046576
P03__P34,P03,P34,684.728683358077,48.90919166843407
P03__P35,P03,P35,852.2995470062343,60.87853907187388
P03__P36,P03,P36,1371.8924657994323,97.99231898567373
P03__P37,P03,P37,160.26817867558836,11.447727048256311
P03__P38,P03,P38,2683.054494520261,191.64674960859006
P03__P39,P03,P39,1468.535878465626,104.89541989040185
P03__P40,P03,P40,1307.8291043734916,93.41636459810654
P04__P01,P04,P01,1675.5410751521242,119.68150536800887
P04__P02,P04,P02,984.952850605109,70.35377504322207
P04__P03,P04,P03,114.80310671474012,8.200221908195724
P04__P05,P04,P05,899.0443560968768,64.21745400691977
P04__P06,P04,P06,1139.3711945842297,81.3836567560164
P04__P07,P04,P07,2586.165064769184,184.72607605494173
P04__P08,P04,P08,1093.4437603701033,78.10312574072167
P04__P09,P04,P09,219.88591812842097,15.706137009172926
P04__P10,P04,P10,623.6776380179816,44.54840271557011
P04__P11,P04,P11,1031.59167862167,73.68511990154786
P04__P12,P04,P12,1054.48485765854,75.32034697561001
P04__P13,P04,P13,1043.425747509442,74.53041053638871
P04__P14,P04,P14,2500.406342808903,178.6004530577788
P04__P15,P04,P15,872.7095739728076,62.336398140914824
P04__P16,P04,P16,672.5849247260653,48.04178033757609
P04__P17,P04,P17,938.2338941471969,67.01670672479977
P04__P18,P04,P18,691.9471644950444,49.42479746393174
P04__P19,P04,P19,1203.993992333968,85.99957088099771
P04__P20,P04,P20,509.81206314932047,36.41514736780861
P04__P21,P04,P21,1618.8333308205615,115.63095220146867
P04__P22,P04,P22,242.23642199792985,17.302601571280704
P04__P23,P04,P23,738.2514250005632,52.73224464289738
P04__P24,P04,P24,2610.1847498951247,186.44176784965177
P04__P25,P04,P25,1124.3203533005576,80.30859666432555
P04__P26,P04,P26,1609.0046402223454,114.92890287302467
P04__P27,P04,P27,1158.5505405808387,82.75361004148849
P04__P28,P04,P28,307.53756069572233,21.966968621123023
P04__P29,P04,P29,83.05392833913865,5.932423452795618
P04__P30,P04,P30,114.94638912605174,8.210456366146554
P04__P31,P04,P31,56.9229218936143,4.065922992401021
P04__P32,P04,P32,740.9969859690209,52.92835614064435
P04__P33,P04,P33,2586.165064769184,184.72607605494173
P04__P34,P04,P34,585.8484113007396,41.84631509290997
P04__P35,P04,P35,753.4192749488969,53.81566249634978
P04__P36,P04,P36,1273.012193742095,90.92944241014963
P04__P37,P04,P37,45.46507196084823,3.247505140060588
P04__P38,P04,P38,2584.1742224629243,184.58387303306603
P04__P39,P04,P39,1369.6556064082883,97.83254331487774
P04__P40,P04,P40,1208.9488323161545,86.35348802258247
P05__P01,P05,P01,804.3446375507114,57.45318839647938
P05__P02,P05,P02,280.99968027173696,20.071405733695496
P05__P03,P05,P03,997.9246281542146,71.2803305824439
P05__P04,P05,P04,899.0443560968772,64.2174540069198
P05__P06,P05,P06,415.4403124482633,29.674308032018807
P05__P07,P05,P07,1714.9686271677715,122.49775908341225
P05__P08,P05,P08,364.0073685473317,26.000526324809407
P05__P09,P05,P09,716.6469053431828,51.1890646673702
P05__P10,P05,P10,738.6072109964643,52.757657928318885
P05__P11,P05,P11,350.5532056671301,25.039514690509293
P05__P12,P05,P12,319.1324345474825,22.79517389624875
P05__P13,P05,P13,164.8210198348428,11.772929988203057
P05__P14,P05,P14,1629.2099052074905,116.37213608624931
P05__P15,P05,P15,987.6391469512902,70.54565335366358
P05__P16,P05,P16,342.52702618145446,24.466216155818177
P05__P17,P05,P17,202.88147103613943,14.491533645438532
P05__P18,P05,P18,207.09719160183246,14.792656542988032
P05__P19,P05,P19,413.79139662917146,29.556528330655105
P05__P20,P05,P20,614.1721644024655,43.86944031446182
P05__P21,P05,P21,747.6368932191486,53.402635229939186
P05__P22,P05,P22,679.4671792927008,48.53336994947863
P05__P23,P05,P23,795.6887047760422,56.83490748400301
P05__P24,P05,P24,1738.988312293712,124.21345087812229
P05__P25,P05,P25,1147.5505625567114,81.96789732547938
P05__P26,P05,P26,737.8082026209327,52.70058590149519
P05__P27,P05,P27,1273.4801135593214,90.96286525423724
P05__P28,P05,P28,630.1535677625733,45.01096912589809
P05__P29,P05,P29,888.8265567932307,63.48761119951648
P05__P30,P05,P30,998.0679105655262,71.29056504039472
P05__P31,P05,P31,940.0444433330887,67.1460316666492
P05__P32,P05,P32,260.2055017959514,18.586107271139387
P05__P33,P05,P33,1714.9686271677715,122.49775908341225
P05__P34,P05,P34,385.5684281240175,27.540602008858393
P05__P35,P05,P35,302.8310800108586,21.630791429347045
P05__P36,P05,P36,1387.9417667205776,99.13869762289839
P05__P37,P05,P37,921.0046491472044,65.78604636765746
P05__P38,P05,P38,1712.9777848615117,122.35555606153655
P05__P39,P05,P39,487.3686346138592,34.81204532956137
P05__P40,P05,P40,344.13741888215475,24.581244205868195
P06__P01,P06,P01,916.6853244393963,65.47752317424259
P06__P02,P06,P02,175.63907241420276,12.54564802958591
P06__P03,P06,P03,1238.2514666415673,88.44653333154052
P06__P04,P06,P04,1139.37119458423,81.38365675601642
P06__P05,P06,P05,415.44031244826334,29.67430803201881
P06__P07,P06,P07,1827.3093140564565,130.52209386117548
P06__P08,P06,P08,75.76584530941429,5.411846093529592
P06__P09,P06,P09,956.9737438305356,68.35526741646683
P06__P10,P06,P10,978.9340494838171,69.9238606774155
P06__P11,P06,P11,148.1947310377021,10.585337931264435
P06__P12,P06,P12,157.0284537804731,11.216318127176649
P06__P13,P06,P13,257.95796622895017,18.425569016353585
P06__P14,P06,P14,1741.5505920961755,124.39647086401253
P06__P15,P06,P15,1227.9659854386434,87.71185610276025
P06__P16,P06,P16,674.0906138430455,48.14932956021754
P06__P17,P06,P17,230.8753093268515,16.491093523346535
P06__P18,P06,P18,489.5337217621517,34.96669441158226
P06__P19,P06,P19,248.2237425884511,17.730267327746507
P06__P20,P06,P20,854.4990028898183,61.035643063558446
P06__P21,P06,P21,859.9775801078335,61.426970007702394
P06__P22,P06,P22,919.7940177800535,65.69957269857525
P06__P23,P06,P23,1036.015543263395,74.00111023309965
P06__P24,P06,P24,1851.328999182397,132.2377856558855
P06__P25,P06,P25,1409.909248342694,100.70780345304956
P06__P26,P06,P26,850.1488895096176,60.724920679258396
P06__P27,P06,P27,1513.8069520466743,108.12906800333387
P06__P28,P06,P28,870.4804062499261,62.17717187499472
P06__P29,P06,P29,1129.1533952805837,80.65381394861312
P06__P30,P06,P30,1238.3947490528788,88.45676778949134
P06__P31,P06,P31,1180.3712818204415,84.31223441574582
P06__P32,P06,P32,587.2989398314769,41.94992427367692
